Terminal log for roberta 


python Advanced_models\train.py roberta_trained.th roberta --B=8 --lr=0.00001 --epochs=2
Got CUDA!
tokenizer_config.json: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25.0/25.0 [00:00<?, ?B/s]
C:\Users\nourh\miniconda3\envs\mon_env\Lib\site-packages\huggingface_hub\file_download.py:142: UserWarning: `huggingface_hub` cache-system uses symlinks by default to efficiently store duplicated files but your machine does not support them in C:\Users\nourh\.cache\huggingface\hub\models--roberta-base. Caching files will still work but in a degraded version that might require more space on your disk. This warning can be disabled by setting the `HF_HUB_DISABLE_SYMLINKS_WARNING` environment variable. For more details, see https://huggingface.co/docs/huggingface_hub/how-to-cache#limitations.
To support symlinks on Windows, you either need to activate Developer Mode or to run Python as an administrator. In order to activate developer mode, see this article: https://docs.microsoft.com/en-us/windows/apps/get-started/enable-your-device-for-development
  warnings.warn(message)
vocab.json: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 899k/899k [00:00<00:00, 3.21MB/s]
merges.txt: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 456k/456k [00:00<00:00, 2.60MB/s]
tokenizer.json: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1.36M/1.36M [00:00<00:00, 3.99MB/s]
config.json: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 481/481 [00:00<?, ?B/s]
model.safetensors: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 499M/499M [00:42<00:00, 11.6MB/s]
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
current lr 1.00000e-05
C:\Users\nourh\miniconda3\envs\mon_env\Lib\site-packages\transformers\models\roberta\modeling_roberta.py:370: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
Epoch: [0][0/3125]      Loss 0.6824 (0.6824)    Accuracy 75.000 (75.000)
Epoch: [0][25/3125]     Loss 0.6828 (0.6991)    Accuracy 87.500 (50.962)
Epoch: [0][50/3125]     Loss 0.5439 (0.6884)    Accuracy 100.000 (53.676)
Epoch: [0][75/3125]     Loss 0.3146 (0.6051)    Accuracy 87.500 (63.487)
Epoch: [0][100/3125]    Loss 0.0982 (0.5264)    Accuracy 100.000 (70.297)
Epoch: [0][125/3125]    Loss 0.0569 (0.4726)    Accuracy 100.000 (74.306)
Epoch: [0][150/3125]    Loss 0.2551 (0.4320)    Accuracy 87.500 (77.070)
Epoch: [0][175/3125]    Loss 0.3514 (0.4087)    Accuracy 75.000 (78.764)
Epoch: [0][200/3125]    Loss 0.2385 (0.3831)    Accuracy 87.500 (80.597)
Epoch: [0][225/3125]    Loss 0.0923 (0.3725)    Accuracy 100.000 (81.527)
Epoch: [0][250/3125]    Loss 0.1501 (0.3529)    Accuracy 87.500 (82.669)
Epoch: [0][275/3125]    Loss 0.1315 (0.3433)    Accuracy 87.500 (83.243)
Epoch: [0][300/3125]    Loss 0.1927 (0.3386)    Accuracy 87.500 (83.721)
Epoch: [0][325/3125]    Loss 0.0268 (0.3263)    Accuracy 100.000 (84.471)
Epoch: [0][350/3125]    Loss 0.0384 (0.3139)    Accuracy 100.000 (85.150)
Epoch: [0][375/3125]    Loss 0.1219 (0.3039)    Accuracy 87.500 (85.838)
Epoch: [0][400/3125]    Loss 0.4005 (0.3019)    Accuracy 87.500 (86.191)
Epoch: [0][425/3125]    Loss 0.0132 (0.2928)    Accuracy 100.000 (86.649)
Epoch: [0][450/3125]    Loss 0.1648 (0.2872)    Accuracy 87.500 (87.001)
Epoch: [0][475/3125]    Loss 0.5587 (0.2829)    Accuracy 75.000 (87.237)
Epoch: [0][500/3125]    Loss 0.2278 (0.2831)    Accuracy 87.500 (87.325)
Epoch: [0][525/3125]    Loss 0.2194 (0.2765)    Accuracy 87.500 (87.690)
Epoch: [0][550/3125]    Loss 0.1572 (0.2733)    Accuracy 87.500 (87.908)
Epoch: [0][575/3125]    Loss 0.1771 (0.2675)    Accuracy 87.500 (88.216)
Epoch: [0][600/3125]    Loss 0.0458 (0.2644)    Accuracy 100.000 (88.436)
