terminal log for xlnet


python Advanced_models\train.py xlnet_trained.th xlnet --B=8 --lr=0.00001 --epochs=2
Got CUDA!
spiece.model: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 798k/798k [00:00<00:00, 3.05MB/s]
C:\Users\nourh\miniconda3\envs\mon_env\Lib\site-packages\huggingface_hub\file_download.py:142: UserWarning: `huggingface_hub` cache-system uses symlinks by default to efficiently store duplicated files but your machine does not support them in C:\Users\nourh\.cache\huggingface\hub\models--xlnet-base-cased. Caching files will still work but in a degraded version that might require more space on your disk. This warning can be disabled by setting the `HF_HUB_DISABLE_SYMLINKS_WARNING` environment variable. For more details, see https://huggingface.co/docs/huggingface_hub/how-to-cache#limitations.
To support symlinks on Windows, you either need to activate Developer Mode or to run Python as an administrator. In order to activate developer mode, see this article: https://docs.microsoft.com/en-us/windows/apps/get-started/enable-your-device-for-development
  warnings.warn(message)
tokenizer.json: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1.38M/1.38M [00:00<00:00, 11.9MB/s]
config.json: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 760/760 [00:00<?, ?B/s]
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
pytorch_model.bin: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 467M/467M [00:39<00:00, 11.9MB/s]
current lr 1.00000e-05
Epoch: [0][0/3125]      Loss 0.7444 (0.7444)    Accuracy 50.000 (50.000)
model.safetensors:  90%|███████████████████████████████████████████████████████████████████████████████████████████████████████▎           | 419M/467M [00:35<00:04, 11.5MB/s]Epoch: [0][25/3125]      Loss 0.5986 (0.7700)    Accuracy 62.500 (53.846)
model.safetensors: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 467M/467M [00:39<00:00, 11.9MB/s]
Epoch: [0][50/3125]     Loss 0.6277 (0.7455)    Accuracy 75.000 (54.167)
Epoch: [0][75/3125]     Loss 0.7064 (0.7310)    Accuracy 62.500 (55.757)
Epoch: [0][100/3125]    Loss 0.5471 (0.7195)    Accuracy 87.500 (57.178)
Epoch: [0][125/3125]    Loss 0.5369 (0.6912)    Accuracy 75.000 (59.722)
Epoch: [0][150/3125]    Loss 0.2328 (0.6499)    Accuracy 87.500 (63.245)
Epoch: [0][175/3125]    Loss 0.3660 (0.6049)    Accuracy 75.000 (66.690)
Epoch: [0][200/3125]    Loss 0.1011 (0.5564)    Accuracy 100.000 (69.714)
Epoch: [0][225/3125]    Loss 0.3392 (0.5241)    Accuracy 75.000 (72.069)
Epoch: [0][250/3125]    Loss 0.0533 (0.4957)    Accuracy 100.000 (74.054)
Epoch: [0][275/3125]    Loss 0.2584 (0.4720)    Accuracy 87.500 (75.679)
Epoch: [0][300/3125]    Loss 0.0820 (0.4507)    Accuracy 100.000 (77.076)
Epoch: [0][325/3125]    Loss 0.1534 (0.4389)    Accuracy 100.000 (78.067)
Epoch: [0][350/3125]    Loss 0.1744 (0.4290)    Accuracy 87.500 (78.917)
Epoch: [0][375/3125]    Loss 0.1543 (0.4158)    Accuracy 100.000 (79.688)
Epoch: [0][400/3125]    Loss 0.2474 (0.4021)    Accuracy 87.500 (80.580)
Epoch: [0][425/3125]    Loss 0.1292 (0.3875)    Accuracy 100.000 (81.338)
Epoch: [0][450/3125]    Loss 0.0489 (0.3785)    Accuracy 100.000 (81.957)
Epoch: [0][475/3125]    Loss 0.3098 (0.3698)    Accuracy 87.500 (82.511)
Epoch: [0][500/3125]    Loss 0.1909 (0.3599)    Accuracy 87.500 (83.084)
Epoch: [0][525/3125]    Loss 0.0548 (0.3528)    Accuracy 100.000 (83.508)
Epoch: [0][550/3125]    Loss 0.0541 (0.3461)    Accuracy 100.000 (83.984)
