terminal output for bert 

python Advanced_models\train.py bert_trained.th bert --B=8 --lr=0.00001 --epochs=2
Got CUDA!
current lr 1.00000e-05
C:\Users\nourh\miniconda3\envs\mon_env\Lib\site-packages\transformers\models\bert\modeling_bert.py:440: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
Epoch: [0][0/3125]      Loss 0.6566 (0.6566)    Accuracy 62.500 (62.500)
Epoch: [0][25/3125]     Loss 0.7202 (0.7131)    Accuracy 50.000 (49.519)
Epoch: [0][50/3125]     Loss 0.6313 (0.6896)    Accuracy 87.500 (56.863)
Epoch: [0][75/3125]     Loss 0.6577 (0.6489)    Accuracy 62.500 (64.967)
Epoch: [0][100/3125]    Loss 0.6790 (0.5895)    Accuracy 75.000 (69.307)
Epoch: [0][125/3125]    Loss 0.4853 (0.5616)    Accuracy 75.000 (71.230)
Epoch: [0][150/3125]    Loss 0.2483 (0.5286)    Accuracy 87.500 (73.758)
Epoch: [0][175/3125]    Loss 0.1406 (0.4925)    Accuracy 100.000 (75.923)
Epoch: [0][200/3125]    Loss 0.1125 (0.4810)    Accuracy 100.000 (76.990)
Epoch: [0][225/3125]    Loss 0.3959 (0.4543)    Accuracy 87.500 (78.706)
Epoch: [0][250/3125]    Loss 0.0777 (0.4395)    Accuracy 100.000 (79.681)
Epoch: [0][275/3125]    Loss 0.1567 (0.4189)    Accuracy 87.500 (80.842)
Epoch: [0][300/3125]    Loss 0.6161 (0.4003)    Accuracy 75.000 (81.894)
Epoch: [0][325/3125]    Loss 0.0313 (0.3895)    Accuracy 100.000 (82.400)
Epoch: [0][350/3125]    Loss 0.2042 (0.3825)    Accuracy 87.500 (82.835)
Epoch: [0][375/3125]    Loss 0.1566 (0.3773)    Accuracy 87.500 (83.112)
Epoch: [0][400/3125]    Loss 0.0638 (0.3691)    Accuracy 100.000 (83.479)
Epoch: [0][425/3125]    Loss 0.1442 (0.3597)    Accuracy 87.500 (83.979)
Epoch: [0][450/3125]    Loss 0.0903 (0.3523)    Accuracy 100.000 (84.424)
Epoch: [0][475/3125]    Loss 0.0715 (0.3482)    Accuracy 100.000 (84.664)
Epoch: [0][500/3125]    Loss 0.1694 (0.3415)    Accuracy 100.000 (85.055)
Epoch: [0][525/3125]    Loss 0.1373 (0.3362)    Accuracy 100.000 (85.337)
Epoch: [0][550/3125]    Loss 0.3062 (0.3315)    Accuracy 87.500 (85.526)
Epoch: [0][575/3125]    Loss 0.3398 (0.3303)    Accuracy 87.500 (85.677)
Epoch: [0][600/3125]    Loss 0.1532 (0.3267)    Accuracy 87.500 (85.753)
Epoch: [0][625/3125]    Loss 0.1217 (0.3233)    Accuracy 100.000 (85.982)
Epoch: [0][650/3125]    Loss 0.4714 (0.3212)    Accuracy 87.500 (86.098)
Epoch: [0][675/3125]    Loss 0.0250 (0.3170)    Accuracy 100.000 (86.317)
